playerid,Player,K,HB,D,M,G,B,T,HO,GA,I50,CL,CG,R50,FF,FA,AF,SC,fixture_id
6244,Reuben Ginbey,4,8,12,1,0,0,3,0,0,1,3,3,2,0,3,34,64,138
6245,Noah Long,6,5,11,4,0,0,1,0,0,0,1,3,0,0,0,44,30,138
6246,Ryan Maric,5,6,11,1,0,1,2,0,1,1,0,1,0,2,0,41,44,138
6247,Jamie Cripps,4,6,10,2,0,0,1,0,0,1,0,2,1,0,2,28,31,138
6248,Tom Barrass,5,5,10,5,0,0,1,0,0,0,0,3,2,0,1,41,68,138
6249,Jack Darling,4,5,9,2,1,1,0,0,0,1,0,1,0,0,0,35,42,138
6250,Xavier O'Neill,7,2,9,3,0,0,0,0,0,3,0,0,0,0,0,34,38,138
6251,Bailey J. Williams,4,5,9,3,0,0,3,26,0,2,3,2,0,0,0,69,59,138
6252,Rhett Bazzo,5,3,8,6,0,0,1,0,0,0,0,1,1,2,1,42,33,138
6253,Tom Cole↙,3,4,7,2,0,0,0,0,0,0,1,0,0,0,0,23,16,138
6254,Andrew Gaff,4,2,6,3,0,0,1,0,0,0,0,0,0,1,0,30,34,138
6255,Oscar Allen,3,3,6,4,1,0,2,2,0,0,0,1,0,0,1,40,42,138
6256,Jack Williams,4,2,6,3,1,0,2,2,0,1,1,0,0,2,0,43,47,138
6257,Stephen Coniglio,18,12,30,8,3,0,4,0,0,6,4,1,2,0,0,136,119,139
6258,Harrison Himmelberg,16,6,22,6,0,0,2,0,0,2,1,7,8,1,4,75,90,139
6259,Lachie Whitfield,14,7,21,4,0,0,4,0,0,2,0,1,5,0,1,81,86,139
6260,Callan Ward,11,8,19,4,0,1,4,0,0,4,2,2,0,2,1,77,87,139
6261,Harry Perryman,12,7,19,6,0,0,6,0,0,4,0,3,5,1,2,87,80,139
6262,Sam Taylor,12,7,19,8,0,0,4,0,0,1,1,3,2,1,0,91,117,139
6263,Lachlan Ash,16,3,19,7,0,0,1,0,1,2,1,4,5,1,2,74,57,139
6264,Finn Callaghan,7,12,19,4,0,0,4,0,0,3,2,0,0,1,0,74,95,139
6265,Isaac Cumming,9,9,18,3,0,0,1,0,0,2,1,1,1,0,1,55,60,139
6266,Connor Idun,12,6,18,8,0,0,3,0,0,3,0,1,1,1,1,82,85,139
6267,Toby Greene,13,4,17,6,0,2,2,0,2,5,2,7,0,2,4,65,81,139
6268,Kieren Briggs,12,5,17,5,0,1,3,28,2,8,6,4,0,2,3,95,107,139
6269,Tom Green,7,10,17,3,1,0,4,0,0,4,1,3,1,0,1,69,73,139
6270,Jack Buckley,8,8,16,5,0,0,2,0,0,2,0,2,7,0,1,60,95,139
6271,Jesse Hogan,10,5,15,5,4,1,1,0,0,1,0,4,0,2,0,86,100,139
6272,Jake Riccardi,12,2,14,7,3,3,1,0,0,1,1,1,1,0,0,86,90,139
6273,Daniel Lloyd,6,4,10,2,1,0,4,0,1,2,0,2,1,1,1,52,55,139
6274,Toby Bedford,4,6,10,1,0,1,7,0,0,2,0,3,2,1,1,54,48,139
6275,Callum Brown,6,4,10,6,0,2,1,0,3,2,0,0,0,1,0,51,59,139
6276,Nick Haynes↙,5,2,7,3,0,0,0,0,0,1,3,1,1,0,1,25,29,139
6277,Joshua Kelly,3,3,6,0,0,0,4,0,0,0,1,3,2,2,1,30,23,139
6278,Xavier O'Halloran,4,2,6,2,0,0,2,0,0,2,0,1,0,1,0,31,26,139
6279,Lachlan Keeffe↗,1,1,2,0,0,0,0,3,0,1,0,0,0,0,0,8,11,139
6280,Jai Newcombe,9,19,28,2,0,0,3,0,1,7,9,0,1,2,0,85,115,139
6281,Karl Amon,16,11,27,6,0,0,4,0,0,4,1,2,8,1,0,105,96,139
6282,Conor Nash,7,20,27,1,0,1,6,0,0,3,5,3,1,1,0,90,94,139
6283,Will Day,9,17,26,4,0,2,4,0,0,2,3,3,2,2,2,87,107,139
6284,Blake Hardwick,18,7,25,5,0,0,2,0,0,1,0,2,9,1,0,92,105,139
6285,James Worpel,14,10,24,1,1,1,3,0,0,10,4,7,2,2,3,77,89,139
6286,Connor MacDonald,14,9,23,2,1,1,3,0,0,7,1,1,1,1,0,86,85,139
6287,Seamus Mitchell,7,13,20,4,0,0,0,0,1,0,0,5,1,0,1,56,55,139
6288,Josh Ward,11,9,20,4,2,0,1,0,1,0,1,2,3,2,0,81,80,139
6289,Joshua Weddle,6,14,20,4,0,0,2,0,0,0,3,3,5,0,1,63,75,139
6290,Jack Scrimshaw,11,6,17,2,0,0,1,0,0,2,1,3,6,0,1,52,65,139
6291,Chad Wingard,10,6,16,3,2,0,0,0,2,5,2,3,0,0,1,60,73,139
6292,Finn Maginness,5,10,15,1,0,0,5,0,1,2,2,0,2,1,0,59,64,139
6293,Dylan Moore,7,6,13,4,1,0,8,0,0,0,2,0,1,1,0,84,90,139
6294,Mitchell Lewis,8,3,11,2,0,1,2,2,0,3,1,2,0,2,2,43,48,139
6295,Tyler Brockman,8,3,11,2,0,3,7,0,0,3,0,4,0,2,2,63,52,139
6296,Ned Reeves,2,8,10,0,0,0,4,24,0,0,4,2,0,3,1,62,107,139
6297,Fergus Greene,5,4,9,1,2,1,1,0,0,1,0,1,0,2,0,45,55,139
6298,Sam Frost,2,5,7,1,0,0,4,5,0,0,2,1,2,0,0,40,38,139
6299,Jarman Impey↗,3,4,7,0,0,0,3,0,0,1,0,2,2,0,2,23,33,139
6300,James Blanck,4,2,6,3,0,0,1,0,0,0,0,4,2,1,3,21,56,139
6301,Harry Morrison↙,3,1,4,1,0,0,0,0,0,1,0,0,0,0,0,14,16,139
6302,Denver G-Barras,3,1,4,1,1,0,2,0,0,3,0,2,0,1,0,29,27,139
6303,Jack Sinclair,21,12,33,6,0,1,1,0,0,4,5,4,1,0,0,110,96,140
6304,Nasiah W-Milera,24,9,33,7,0,0,5,0,0,6,0,5,3,2,1,130,110,140
6305,Jack Steele,13,18,31,6,1,0,12,0,0,6,4,4,1,2,1,146,140,140
6306,Rowan Marshall,20,10,30,10,0,0,7,15,0,7,8,7,1,4,3,148,149,140
6307,Brad Crouch,18,9,27,2,0,1,4,0,1,2,7,3,2,1,0,96,96,140
6308,Jade Gresham,14,10,24,7,2,0,2,0,0,4,1,6,1,1,3,95,92,140
6309,Callum Wilkie,16,7,23,10,0,0,1,0,1,2,0,3,3,0,2,90,97,140
6310,Mason Wood,8,13,21,6,1,2,3,0,0,2,0,1,0,1,0,89,83,140
6311,Jimmy Webster,12,8,20,8,0,0,3,0,0,1,0,2,5,0,1,85,78,140
6312,Zak Jones,3,17,20,0,0,0,4,0,0,4,5,0,0,1,0,60,84,140
6313,Liam Stocker,12,7,19,7,0,1,0,0,0,0,0,1,2,0,0,72,60,140
6314,Marcus Windhager,10,9,19,6,0,0,2,0,0,0,0,1,5,0,0,74,75,140
6315,Jack Billings,9,9,18,6,1,1,2,0,0,2,0,3,0,0,1,75,77,140
6316,Ryan Byrnes↙,6,12,18,2,0,0,0,0,1,4,0,2,2,0,1,45,67,140
6317,Dougal Howard,11,6,17,9,0,0,1,0,0,0,0,4,3,1,0,77,76,140
6318,Mattaes Phillipou,5,10,15,2,0,2,0,0,0,2,0,3,0,1,0,44,37,140
6319,Mitchito Owens,8,5,13,4,2,0,0,2,1,2,0,6,1,2,1,59,48,140
6320,Anthony Caminiti,4,7,11,5,0,0,8,1,1,2,0,3,0,0,1,71,59,140
