playerid,Player,K,HB,D,M,G,B,T,HO,GA,I50,CL,CG,R50,FF,FA,AF,SC,fixture_id
772,Connor Idun,6,9,15,7,0,0,1,0,0,2,0,3,4,0,0,61,60,18
773,Daniel Lloyd,6,7,13,2,1,0,0,0,1,4,0,2,0,0,1,41,50,18
774,Brent Daniels,9,4,13,4,1,0,3,0,0,4,0,3,0,0,2,59,56,18
775,Sam Taylor,5,8,13,9,0,0,1,0,0,1,0,2,2,0,1,59,74,18
776,Jake Riccardi,5,6,11,2,0,1,1,1,0,3,1,4,0,0,2,33,36,18
777,Adam Kennedy,7,2,9,2,0,0,2,0,1,1,0,2,1,1,2,34,39,18
778,James Peatling,9,0,9,2,0,1,3,0,0,3,0,5,0,3,1,46,35,18
779,Harrison Himmelberg,4,4,8,4,1,1,0,3,0,1,2,1,2,0,1,39,40,18
780,Harry Rowston,3,4,7,1,0,1,0,0,0,1,2,1,0,1,1,19,48,18
781,Conor Stone↙,3,2,5,0,0,0,3,0,0,1,0,1,0,1,0,26,21,18
782,Jacob Wehr↗,1,2,3,0,0,0,1,0,0,0,1,1,1,0,0,11,13,18
783,Jackson Macrae,17,13,30,6,0,0,4,0,1,7,3,2,2,3,1,111,114,19
784,Bailey Dale,14,16,30,5,0,0,1,0,0,2,2,3,2,0,1,90,102,19
785,Thomas Liberatore,13,16,29,6,0,0,9,0,1,2,3,5,2,0,2,119,120,19
786,Adam Treloar,15,13,28,4,0,1,5,0,0,1,9,5,1,1,2,99,116,19
787,Marcus Bontempelli,16,12,28,4,0,1,6,0,0,7,7,13,1,3,6,94,89,19
788,Ed Richards,19,6,25,6,0,1,4,0,0,2,0,3,8,2,1,103,111,19
789,Alex Keath,11,10,21,7,0,0,0,0,0,1,0,4,4,1,1,72,91,19
790,Caleb Daniel,10,9,19,4,0,0,4,0,0,3,4,2,1,1,0,77,86,19
791,Bailey Smith,9,10,19,6,0,0,3,0,1,1,4,2,2,0,2,71,102,19
792,Oskar Baker,17,1,18,7,1,0,2,0,2,8,0,0,1,0,0,88,95,19
793,Bailey Williams,11,6,17,8,1,2,0,0,1,3,2,2,0,0,1,74,85,19
794,Timothy English,11,5,16,8,0,0,3,31,0,2,4,2,3,1,0,111,139,19
795,Anthony Scott,8,8,16,2,0,0,2,0,0,2,0,3,2,1,0,55,55,19
796,Jason Johannisen,14,1,15,7,0,0,1,0,0,3,0,2,5,0,0,69,49,19
797,Aaron Naughton,9,4,13,4,1,0,5,1,1,3,0,4,0,3,1,74,91,19
798,Josh Bruce,6,5,11,4,0,0,0,0,0,1,0,3,1,0,2,34,38,19
799,Liam Jones,9,1,10,4,0,0,2,0,0,0,0,1,3,2,1,48,68,19
800,Hayden Crozier,6,4,10,2,0,0,1,0,0,1,0,3,2,0,1,33,49,19
801,Riley Garcia,4,6,10,1,0,0,2,0,0,1,0,8,0,0,2,29,-6,19
802,Jamarra U-Hagan,5,4,9,2,5,0,1,0,0,1,0,0,0,4,0,67,80,19
803,Arthur Jones,3,2,5,0,0,1,1,0,0,0,0,0,0,0,0,18,26,19
804,Rory Lobb↗,3,1,4,1,2,0,0,3,0,0,0,2,0,0,2,23,44,19
805,Robbie McComb↙,1,1,2,1,0,0,1,0,0,0,0,0,0,0,0,12,19,19
806,Lachie Neale,12,19,31,2,1,1,4,0,0,3,8,4,1,4,1,104,117,19
807,Josh Dunkley,17,7,24,9,0,0,6,0,0,4,4,4,1,0,0,116,108,19
808,Will Ashcroft,12,11,23,2,0,0,2,0,0,2,4,2,4,2,1,71,80,19
809,Harris Andrews,16,5,21,16,0,0,1,0,1,1,0,3,5,1,1,108,130,19
810,Brandon Starcevich,16,4,20,5,0,0,2,0,0,1,0,2,2,2,0,81,98,19
811,Dayne Zorko,9,10,19,4,0,0,3,0,1,1,2,4,2,0,3,62,68,19
812,Conor McKenna,14,5,19,2,0,0,1,0,0,5,3,5,7,0,1,59,57,19
813,Hugh McCluggage,11,8,19,3,0,0,3,0,0,6,3,4,2,1,0,71,64,19
814,Jarrod Berry,11,7,18,3,0,0,2,0,0,7,2,4,0,4,0,68,66,19
815,Cameron Rayner,10,5,15,6,1,0,0,0,0,1,0,1,2,1,0,65,69,19
816,Darcy Wilmot,11,4,15,7,0,0,1,0,0,2,0,2,2,0,0,66,69,19
817,Zac Bailey,9,4,13,4,0,0,4,0,0,1,2,6,2,0,3,54,39,19
818,Jack Payne,10,3,13,7,0,0,2,0,0,0,0,4,5,0,2,59,58,19
819,Keidean Coleman,9,4,13,1,0,0,3,0,0,0,1,4,3,1,1,48,47,19
820,Oscar McInerney,3,9,12,3,0,1,4,28,0,2,2,3,1,0,0,81,77,19
821,Jack Gunston,7,3,10,6,3,2,1,0,0,0,0,0,0,2,0,71,81,19
822,Darcy Fort↗,7,2,9,3,0,0,0,16,0,4,0,2,0,1,1,48,53,19
823,Lincoln McCarthy,4,4,8,2,0,0,1,0,0,3,0,0,0,1,0,31,37,19
824,Charlie Cameron,7,1,8,2,1,1,5,0,0,2,1,0,0,1,0,57,58,19
825,Darragh Joyce,7,1,8,4,0,0,0,0,0,0,0,5,1,2,5,22,48,19
826,Joe Daniher,6,1,7,3,0,4,2,0,1,1,1,3,0,1,2,36,27,19
